bin,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2
Bietry_1.1.fa,16.5937,35.0699,,0,
Bietry_1.10.fa,113.572,208.781,,0,
Bietry_1.11.fa,8.68027,0,,0,
Bietry_1.12.fa,5.52654,0,,0,
Bietry_1.13.fa,10.9425,3.62016,,0,
Bietry_1.14.fa,19.0741,13.5381,,0,
Bietry_1.15.fa,10.6623,4.33675,,0,
Bietry_1.16.fa,15.93035,0.5143945,,0,
Bietry_1.17.fa,11.4346,3.085415,,0,
Bietry_1.18.fa,19.1625,0.00567828,,0,
Bietry_1.19.fa,7.521325,2.83901,,0,
Bietry_1.2.fa,67.99415,30.7714,,0,
Bietry_1.20.fa,36.8259,1.7824,,0,
Bietry_1.21.fa,7.010805,0.30859,,0,
Bietry_1.22.fa,11.59405,0.2307355,,0,
Bietry_1.23.fa,8.001865,0,,0,
Bietry_1.3.fa,98.1697,21.6197,,0,
Bietry_1.4.fa,7.19575,2.3249,,0,
Bietry_1.5.fa,37.93865,31.74375,,0,
Bietry_1.6.fa,8.653845,0.205487,,0,
Bietry_1.7.fa,7.92217,0,,0,
Bietry_1.8.fa,78.4769,25.7074,,0,
Bietry_1.9.fa,8.83837,3.08002,,0,
Bietry_2.1.fa,0,11.7798,,0,
Bietry_2.10.fa,0.967203,7.37588,,0,
Bietry_2.11.fa,0,6.32167,,0,
Bietry_2.12.fa,0.485743,10.7532,,0,
Bietry_2.13.fa,19.0975,16.7484,,0,
Bietry_2.14.fa,0,84.9458,,0,
Bietry_2.15.fa,0.467453,23.58115,,0,
Bietry_2.16.fa,29.8913,33.1526,,0,
Bietry_2.17.fa,0.169044,24.5105,,0,
Bietry_2.18.fa,90.8213,33.2608,,0,
Bietry_2.19.fa,0.975692,39.2145,,0,
Bietry_2.2.fa,0.343318,7.31785,,0,
Bietry_2.20.fa,0.63832,21.8525,,0,
Bietry_2.21.fa,0,41.989,,0,
Bietry_2.22.fa,1.231545,14.6873,,0,
Bietry_2.23.fa,110.505,220.4785,,0,
Bietry_2.24.fa,0,6.2415,,0,
Bietry_2.25.fa,2.071385,8.23342,,0,
Bietry_2.26.fa,0.1224145,8.02155,,0,
Bietry_2.27.fa,0.965055,7.81906,,0,
Bietry_2.28.fa,137.2575,150.0815,,0,
Bietry_2.29.fa,37.3124,33.70865,,0,
Bietry_2.3.fa,0.5123515,7.490245,,0,
Bietry_2.30.fa,18.2687,17.2015,,0,
Bietry_2.31.fa,0.263744,14.4997,,0,
Bietry_2.32.fa,0.42235,15.0363,,0,
Bietry_2.33.fa,0,7.81992,,0,
Bietry_2.4.fa,122.447,221.231,,0,
Bietry_2.5.fa,1.57295,8.14701,,0,
Bietry_2.6.fa,20.231,16.3456,,0,
Bietry_2.7.fa,128.663,149.689,,0,
Bietry_2.8.fa,6.50207,44.5656,,0,
Bietry_2.9.fa,0,7.00682,,0,
Bietry_3.1.fa,,,14.32935,,0
Bietry_3.10.fa,,,9.90184,,0
Bietry_3.11.fa,,,9.28106,,0
Bietry_3.12.fa,,,7.06454,,0
Bietry_3.13.fa,,,7.701385,,0
Bietry_3.14.fa,,,8.85984,,0
Bietry_3.15.fa,,,13.6185,,0
Bietry_3.16.fa,,,11.5809,,0
Bietry_3.17.fa,,,9.014565,,0
Bietry_3.18.fa,,,12.4311,,0
Bietry_3.19.fa,,,27.0369,,0
Bietry_3.2.fa,,,31.98925,,0.03435565
Bietry_3.20.fa,,,10.11945,,0
