id,pathway,genes
00362,Benzoate degradation,84
00627,Aminobenzoate degradation,46
00984,Steroid degradation,41
00622,Xylene degradation,24
00623,Toluene degradation,21
00983,Drug metabolism - other enzymes,20
00361,Chlorocyclohexane & chlorobenzene deg.,17
00633,Nitrotoluene degradation,16
00625,Chloroalkane & chloroalkene deg.,15
00643,Styrene degradation,14
00624,Polycyclic aromatic hydrocarbon deg.,14
00930,Caprolactam degradation,11
00621,Dioxin degradation,11
00364,Fluorobenzoate degradation,9
00626,Naphthalene degradation,9
00791,Atrazine degradation,7
00982,Drug metabolism - cytochrome P450,6
00642,Ethylbenzene degradation,5
00980,Metabolism of xenobiotics by cyt. P450,5
00365,Furfural degradation,4
00363,Bisphenol degradation,2
