kingdom;phylum;class;order;family;genus;species;SGB;Bietry_1;Bietry_2;Bietry_3;Kassembie_1;Kassembie_2
k__Bacteria;;;;;;;;100.0;100.0;99.99286;99.93844;99.9512
k__Bacteria;p__Pseudomonadota;;;;;;;91.61497;85.31192;85.79534;73.98973;97.85677
k__Bacteria;p__Firmicutes;;;;;;;7.60403;4.19843;0.83134;1.95384;0.0
k__Bacteria;p__Bacteroidota;;;;;;;0.6432;9.78659;3.71096;0.0;0.13949
k__Bacteria;p__Actinomycetota;;;;;;;0.10048;0.6728;8.30417;17.7455;1.77558
k__Bacteria;p__Planctomycetota;;;;;;;0.03427;0.02899;1.32683;1.15714;0.0
k__Bacteria;p__Thermodesulfobacteriota;;;;;;;0.00223;0.00121;0.0;0.49458;0.0
k__Bacteria;p__Nitrospirota;;;;;;;0.00082;5,00E-05;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;;;;;;90.98535;77.69383;75.61693;0.0321;82.48776
k__Bacteria;p__Firmicutes;c__Bacilli;;;;;;6.32356;4.19843;0.81222;1.92173;0.0
k__Bacteria;p__Firmicutes;c__Clostridia;;;;;;1.28046;0.0;0.00957;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;;;;;;0.62794;7.61403;10.14016;55.35042;8.41596
k__Bacteria;p__Bacteroidota;c__Flavobacteriia;;;;;;0.36111;9.78417;3.66791;0.0;0.01818
k__Bacteria;p__Bacteroidota;c__Bacteroidia;;;;;;0.28209;0.0;0.009;0.0;0.0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;;;;;;0.08949;0.66145;5.8859;16.512;1.77558
k__Bacteria;p__Planctomycetota;c__CFGB25759;;;;;;0.03369;0.02846;1.31826;0.0;0.0
k__Bacteria;p__Actinomycetota;c__CFGB67380;;;;;;0.00618;0.00732;0.00195;0.0;0.0
k__Bacteria;p__Actinomycetota;c__Thermoleophilia;;;;;;0.00441;0.00269;0.41098;0.0;0.0
k__Bacteria;p__Thermodesulfobacteriota;c__CFGB93781;;;;;;0.00223;0.0;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__CFGB23763;;;;;;0.00169;0.0;0.00161;0.0;0.0
k__Bacteria;p__Nitrospirota;c__Nitrospiria;;;;;;0.00082;5,00E-05;0.0;0.0;0.0
k__Bacteria;p__Planctomycetota;c__Planctomycetia;;;;;;0.00058;0.00053;0.00028;0.0;0.0
k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;;;;;;0.00037;0.00134;0.1327;1.2335;0.0
k__Bacteria;p__Actinomycetota;c__CFGB92807;;;;;;4,00E-05;0.0;0.0;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;;;;;90.89952;77.39111;75.06364;0.0;30.65156
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;;;;;5.94049;4.19843;0.78646;1.92173;0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;;;;;0.99159;0.0;0.00147;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;;;;;0.6132;5.04076;7.62801;0.0;0.02371
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;;;;;0.38307;0.0;0.02575;0.0;0.0
k__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;;;;;0.36111;9.78417;3.66791;0.0;0.01818
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;;;;;0.2886;0.0;0.0081;0.0;0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;;;;;0.28209;0.0;0.0;0.0;0.0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;;;;;0.07185;0.42428;3.04786;3.64487;1.33392
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;;;;;0.04799;0.00832;0.10628;0.0;0.0
k__Bacteria;p__Planctomycetota;c__CFGB25759;o__OFGB25759;;;;;0.03369;0.02846;1.31826;0.0;0.0
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;;;;;0.02643;0.12466;0.00048;0.0;34.05473
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;;;;;0.01712;0.23344;2.77557;11.48628;0.0
