subclass,genes,class
AA0,49,AA
AA1,56,AA
AA3,102,AA
AA3_2,105,AA
AA4,80,AA
AA6,69,AA
AA7,41,AA
CBM2,20,CBM
CBM32,45,CBM
CBM47,47,CBM
CBM48,203,CBM
CBM50,401,CBM
CBM51,25,CBM
CBM67,25,CBM
CE1,195,CE
CE11,60,CE
CE12,45,CE
CE14,112,CE
CE20,35,CE
CE4,162,CE
CE7,25,CE
CE8,77,CE
CE9,37,CE
GH0,198,GH
GH1,278,GH
GH101,33,GH
GH102,39,GH
GH103,165,GH
GH108,20,GH
GH109,43,GH
GH13,165,GH
GH13_11,131,GH
GH13_14,21,GH
GH13_23,74,GH
GH13_26,60,GH
GH13_3,55,GH
GH13_30,99,GH
GH13_31,125,GH
GH13_48,23,GH
GH13_9,83,GH
GH15,46,GH
GH16_3,51,GH
GH171,33,GH
GH177,62,GH
GH179,81,GH
GH18,51,GH
GH188,129,GH
GH2,68,GH
GH23,406,GH
GH24,32,GH
GH25,68,GH
GH27,29,GH
GH28,146,GH
GH29,42,GH
GH3,209,GH
GH31,30,GH
GH32,30,GH
GH33,27,GH
GH35,20,GH
GH36,60,GH
GH38,43,GH
GH39,115,GH
GH4,23,GH
GH57,25,GH
GH5_11,49,GH
GH63,21,GH
GH65,56,GH
GH73,64,GH
GH76,43,GH
GH77,40,GH
GH78,20,GH
GH84,29,GH
GH9,24,GH
GH92,69,GH
GH97,23,GH
GT0,229,GT
GT1,168,GT
GT105,44,GT
GT107,32,GT
GT119,187,GT
GT19,63,GT
GT2,1650,GT
GT20,43,GT
GT25,35,GT
GT26,26,GT
GT28,128,GT
GT30,89,GT
GT32,32,GT
GT35,82,GT
GT39,20,GT
GT4,1415,GT
GT41,35,GT
GT47,27,GT
GT5,74,GT
GT51,395,GT
GT58,42,GT
GT81,23,GT
GT83,205,GT
GT9,171,GT
PL0,27,PL
