phylum,family,genus,species,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,mean_polluted,mean_control,LFC
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sanguinis,24.39318,50.01728,9.50692,0,0,27.972459999999998,0,14.771771089427867
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_maritimus,7.78966,8.2479,7.17016,0,0,7.735906666666666,0,12.917541154820396
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_Ps6,8.60556,2.4408,1.89746,0,0,4.314606666666667,0,12.075347665264577
p__Bacteroidota,f__Flavobacteriaceae,g__Aequorivita,s__Aequorivita_SGB21798,0.02692,3.87396,4.53344,0,0,2.8114399999999997,0,11.457606603169259
p__Bacteroidota,f__Flavobacteriaceae,g__Mesoflavibacter,s__Mesoflavibacter_zeaxanthinifaciens,0.11042,7.7601,0.016,0,0,2.6288400000000003,0,11.360759312990194
p__Firmicutes,f__Bacillales_unclassified,g__Exiguobacterium,s__Exiguobacterium_sp_s22,6.657,0.44208,0.18312,0,0,2.4274,0,11.245790362963392
p__Actinomycetota,f__Dietziaceae,g__Dietzia,s__Dietzia_kunjamensis,0.0202,0.32322,4.74278,0,0,1.6954,0,10.728260672709073
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_pasteurii,22.55826,9.82702,17.69032,0,0.02422,16.691866666666666,0.01211,10.314348329156399
p__Actinomycetota,f__FGB13567,g__GGB136195,s__GGB136195_SGB86552,0,0,3.39216,0,0,1.13072,0,10.144301348327696
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_alimentarius,0.11608,2.38392,0.5211,0,0,1.0070333333333334,0,9.977327630880449
p__Firmicutes,f__Bacillales_unclassified,g__Exiguobacterium,s__Exiguobacterium_aestuarii,1.61398,0.8443,0.32346,0,0,0.9272466666666667,0,9.858364419146845
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_fozii,0.29068,1.74944,0.7124,0,0,0.9175066666666667,0,9.843146382458148
p__Pseudomonadota,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_SGB66365,0.56284,0.78376,1.38732,0,0,0.9113066666666668,0,9.83337504937451
p__Bacteroidota,f__Flavobacteriaceae,g__Aequorivita,s__Aequorivita_aquimaris,0.00776,1.8111,0.8413,0,0,0.88672,0,9.79396089077423
p__Planctomycetota,f__FGB25759,g__GGB45133,s__GGB45133_SGB62646,0.06596,0.0537,2.4821,0,0,0.8672533333333333,0,9.761972234079746
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_APC_3426,1.15808,0.51542,0.83044,0,0,0.8346466666666666,0,9.706749251697023
p__Pseudomonadota,f__Erythrobacteraceae,g__Altererythrobacter,s__Altererythrobacter_epoxidivorans,0.01876,1.67562,0.50602,0,0,0.7334666666666667,0,9.520553206184674
p__Bacteroidota,f__Flavobacteriaceae,g__Mesoflavibacter,s__Mesoflavibacter_SGB92152,0.11968,1.99924,0.01814,0,0,0.7123533333333332,0,9.478473029393985
p__Pseudomonadota,f__Paracoccaceae,g__Defluviimonas,s__Defluviimonas_nitratireducens,0.35764,1.01512,0.65302,0,0,0.6752600000000001,0,9.40143421230936
p__Firmicutes,f__Bacillales_unclassified,g__Exiguobacterium,s__Exiguobacterium_profundum,1.68664,0.02906,0.21926,0,0,0.6449866666666667,0,9.335360577399197
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_faecalis,0.40162,0.22446,1.21264,0,0,0.6129066666666666,0,9.261875526522804
p__Pseudomonadota,f__Paracoccaceae,g__Paracoccus,s__Paracoccus_homiensis,0.06508,1.4234,0.3479,0,0,0.6121266666666667,0,9.260041342800328
p__Actinomycetota,f__Micrococcaceae,g__Micrococcus,s__Micrococcus_endophyticus,0.09564,0.25692,1.46708,0,0,0.6065466666666667,0,9.246851418547147
p__Firmicutes,f__Bacillales_unclassified,g__Exiguobacterium,s__Exiguobacterium_sp_s146,0,1.73204,0.00502,0,0,0.57902,0,9.179958837262086
p__Pseudomonadota,f__Erythrobacteraceae,g__Qipengyuania,s__Qipengyuania_aerophila,0,0.54286,1.17222,0,0,0.5716933333333333,0,9.161618999064656
p__Pseudomonadota,f__Nitrobacteraceae,g__GGB65997,s__GGB65997_SGB89404,0,0,0,36.38562,0,0,18.19281,-14.151160071660993
p__Pseudomonadota,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_bananamidigenes,0,0,0,0,34.77648,0,17.38824,-14.085907260314078
p__Pseudomonadota,f__Lysobacteraceae,g__Stenotrophomonas,s__Stenotrophomonas_maltophilia,0,0,0,0,33.847970000000004,0,16.923985000000002,-14.04686693474203
p__Pseudomonadota,f__Nitrobacteraceae,g__GGB72035,s__GGB72035_SGB133334,0,0,0,29.06278,0,0,14.53139,-13.826984367970953
p__Pseudomonadota,f__Nitrobacteraceae,g__GGB66000,s__GGB66000_SGB89407,0,0,0,24.96046,0,0,12.48023,-13.60747249543711
p__Pseudomonadota,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_nitroreducens,0,0,0,0,19.38274,0,9.69137,-13.242633764459221
p__Actinomycetota,f__Mycobacteriaceae,g__GGB93887,s__GGB93887_SGB129746,0,0,0,17.8124,0,0,8.9062,-13.12075627297847
p__Pseudomonadota,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas_paucimobilis,0,0,0,0,14.80512,0,7.40256,-12.854003441799186
p__Pseudomonadota,f__Betaproteobacteria_unclassified,g__GGB91362,s__GGB91362_SGB134782,0,0,0,12.2297,0,0,6.11485,-12.578337307627985
p__Pseudomonadota,f__Nitrobacteraceae,g__GGB65999,s__GGB65999_SGB89406,0,0,0,11.23846,0,0,5.61923,-12.456413456579762
p__Pseudomonadota,f__Burkholderiaceae,g__Paraburkholderia,s__Paraburkholderia_tropica,0,0,0,9.60866,0.05086,0,4.82976,-12.23803446378051
