bin,site,samples_tested,detected_own,detected_other,tested_other,site_exclusive
Bietry_1.1,Bietry,3,2,0,1,TRUE
Bietry_1.10,Bietry,3,2,0,1,TRUE
Bietry_1.11,Bietry,3,1,0,1,TRUE
Bietry_1.12,Bietry,3,1,0,1,TRUE
Bietry_1.13,Bietry,3,2,0,1,TRUE
Bietry_1.14,Bietry,3,2,0,1,TRUE
Bietry_1.15,Bietry,3,2,0,1,TRUE
Bietry_1.16,Bietry,3,2,0,1,TRUE
Bietry_1.17,Bietry,3,2,0,1,TRUE
Bietry_1.18,Bietry,3,2,0,1,TRUE
Bietry_1.19,Bietry,3,2,0,1,TRUE
Bietry_1.2,Bietry,3,2,0,1,TRUE
Bietry_1.20,Bietry,3,2,0,1,TRUE
Bietry_1.21,Bietry,3,2,0,1,TRUE
Bietry_1.22,Bietry,3,2,0,1,TRUE
Bietry_1.23,Bietry,3,1,0,1,TRUE
Bietry_1.3,Bietry,3,2,0,1,TRUE
Bietry_1.4,Bietry,3,2,0,1,TRUE
Bietry_1.5,Bietry,3,2,0,1,TRUE
Bietry_1.6,Bietry,3,2,0,1,TRUE
Bietry_1.7,Bietry,3,1,0,1,TRUE
Bietry_1.8,Bietry,3,2,0,1,TRUE
Bietry_1.9,Bietry,3,2,0,1,TRUE
Bietry_2.1,Bietry,3,1,0,1,TRUE
Bietry_2.10,Bietry,3,2,0,1,TRUE
Bietry_2.11,Bietry,3,1,0,1,TRUE
Bietry_2.12,Bietry,3,2,0,1,TRUE
Bietry_2.13,Bietry,3,2,0,1,TRUE
Bietry_2.14,Bietry,3,1,0,1,TRUE
Bietry_2.15,Bietry,3,2,0,1,TRUE
Bietry_2.16,Bietry,3,2,0,1,TRUE
Bietry_2.17,Bietry,3,2,0,1,TRUE
Bietry_2.18,Bietry,3,2,0,1,TRUE
Bietry_2.19,Bietry,3,2,0,1,TRUE
Bietry_2.2,Bietry,3,2,0,1,TRUE
Bietry_2.20,Bietry,3,2,0,1,TRUE
Bietry_2.21,Bietry,3,1,0,1,TRUE
Bietry_2.22,Bietry,3,2,0,1,TRUE
Bietry_2.23,Bietry,3,2,0,1,TRUE
Bietry_2.24,Bietry,3,1,0,1,TRUE
