kingdom,phylum,class,order,family,genus,species,SGB,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,status
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_immobilis,t__SGB10451,29.98256,8.14266,9.59917,0,0.07389,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_celer,t__SGB10449,16.14696,22.87474,23.32219,0,0.19898,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_pasteurii,t__SGB10444,11.27913,4.91351,8.84516,0,0.01211,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sanguinis,t__SGB10445,11.04247,24.40833,2.81535,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_pacificensis,t__SGB10450,8.95103,5.35932,15.7176,0,0.12606,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_Ps6,t__SGB109964,4.30278,1.2204,0.94873,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_maritimus,t__SGB36487,3.89483,4.12395,3.58508,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillales_unclassified,g__Exiguobacterium,s__Exiguobacterium_sp_s22,t__SGB94591,3.3285,0.22104,0.09156,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_immobilis,t__SGB10459,2.10455,2.07009,5.01484,0,0.01607,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sanguinis,t__SGB10442,1.15412,0.60031,1.93811,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillales_unclassified,g__Exiguobacterium,s__Exiguobacterium_profundum,t__SGB8320,0.84332,0.01453,0.10963,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillales_unclassified,g__Exiguobacterium,s__Exiguobacterium_aestuarii,t__SGB29990,0.80699,0.42215,0.16173,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_APC_3426,t__SGB99643,0.57904,0.25771,0.41522,0,0,Named species
k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Paraclostridium,s__Paraclostridium_bifermentans,t__SGB6144,0.50888,0,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Lysinibacillus,s__Lysinibacillus_capsici,t__SGB7494,0.36956,0.0436,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_SGB66365,t__SGB66365,0.28142,0.39188,0.69366,0,0,Undescribed
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Marinilabiliales,f__Marinifilaceae,g__Marinifilum,s__Marinifilum_fragile,t__SGB27895,0.28051,0,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_bablab_jr012,t__SGB92566,0.24113,0.35015,0.07943,0,0,Named species
k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales,f__Filifactoraceae,g__Acetoanaerobium,s__Acetoanaerobium_noterae,t__SGB6090,0.23965,0,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_faecalis,t__SGB10464,0.20081,0.11223,0.60632,0,0,Named species
k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Terrisporobacter,s__Terrisporobacter_hibernicus,t__SGB6143,0.19794,0,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Paracoccaceae,g__Defluviimonas,s__Defluviimonas_nitratireducens,t__SGB181711,0.17882,0.50756,0.32651,0,0,Named species
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Proteiniclasticum,s__Proteiniclasticum_aestuarii,t__SGB94845,0.15055,0,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Cytobacillus,s__Cytobacillus_oceanisediminis,t__SGB82817,0.14878,0.08326,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_fozii,t__SGB23001,0.14534,0.87472,0.3562,0,0,Named species
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Tenacibaculum,s__Tenacibaculum_sp_L6,t__SGB196021,0.14241,0.5554,0.11389,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Vagococcus,s__Vagococcus_fluvialis,t__SGB7918,0.12874,0,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_piechaudii,t__SGB10443,0.10694,0.036,0.13345,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Celeribacter,s__Celeribacter_sp_HF31,t__SGB73438,0.1045,0.01235,0.16459,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Mesobacillus,s__Mesobacillus_jeotgali,t__SGB82815,0.09793,0.03674,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Mesobacillus,s__Mesobacillus_jeotgali,t__SGB154083,0.08668,0.07959,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,s__Trichococcus_flocculiformis,t__SGB7467,0.08567,0,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_petauri,t__SGB7980,0.07968,0,0,0,0,Named species
