phylum,family,genus,species,SGB,mean_polluted,mean_control,LFC
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sanguinis,t__SGB10445,12.755383333333334,0,13.63893173634363
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_maritimus,t__SGB36487,3.867953333333333,0,11.917727612002377
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_Ps6,t__SGB109964,2.1573033333333336,0,11.075681923696713
p__Bacteroidota,f__Flavobacteriaceae,g__Aequorivita,s__Aequorivita_SGB21798,t__SGB21798,1.4057199999999999,0,10.458119481174506
p__Bacteroidota,f__Flavobacteriaceae,g__Mesoflavibacter,s__Mesoflavibacter_zeaxanthinifaciens,t__SGB21779,1.3144200000000001,0,10.361307795337824
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sanguinis,t__SGB10442,1.2308466666666666,0,10.266606973319316
p__Firmicutes,f__Bacillales_unclassified,g__Exiguobacterium,s__Exiguobacterium_sp_s22,t__SGB94591,1.2137,0,10.246384333510251
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_pasteurii,t__SGB10444,8.345933333333333,0.006055,10.208384450033318
p__Actinomycetota,f__Dietziaceae,g__Dietzia,s__Dietzia_kunjamensis,t__SGB15765,0.8477,0,9.729110867230046
p__Actinomycetota,f__FGB13567,g__GGB136195,s__GGB136195_SGB86552,t__SGB86552,0.56536,0,9.145575566354822
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_alimentarius,t__SGB10455,0.5035166666666667,0,8.978758119205828
p__Firmicutes,f__Bacillales_unclassified,g__Exiguobacterium,s__Exiguobacterium_aestuarii,t__SGB29990,0.46362333333333333,0,8.859917797729022
p__Pseudomonadota,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_fozii,t__SGB23001,0.45875333333333335,0,8.84471622437069
p__Pseudomonadota,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_SGB66365,t__SGB66365,0.4556533333333334,0,8.834955554028848
p__Bacteroidota,f__Flavobacteriaceae,g__Aequorivita,s__Aequorivita_aquimaris,t__SGB2715,0.44336,0,8.79558514511806
