taxon,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,total
Psychrobacter celer,16.14696,22.87474,23.32219,0,0.19898,62.54287
Psychrobacter immobilis,32.08791,10.21275,14.68986,0,0.08996,57.08048
Psychrobacter sanguinis,12.19659,25.00864,4.75346,0,0,41.95869
Psychrobacter pacificensis,8.95103,5.35932,15.7176,0,0.12606,30.15401
Acinetobacter pittii,0,0,0.01013,0,28.56588,28.57601
Psychrobacter pasteurii,11.27913,4.91351,8.84516,0,0.01211,25.04991
GGB65997 SGB89404,0,0,0,18.19281,0,18.19281
Pseudomonas bananamidigenes,0,0,0,0,17.38824,17.38824
Stenotrophomonas maltophilia,0,0,0,0,16.92399,16.92399
GGB72035 SGB133334,0,0,0,14.53139,0,14.53139
GGB66000 SGB89407,0,0,0,12.48023,0,12.48023
Psychrobacter maritimus,3.89483,4.12395,3.58508,0,0,11.60386
Pseudomonas nitroreducens,0,0,0,0,9.69137,9.69137
GGB93887 SGB129746,0,0,0,8.9062,0,8.9062
Sphingomonas paucimobilis,0,0,0,0,7.40256,7.40256
Psychrobacter sp Ps6,4.30278,1.2204,0.94873,0,0,6.47191
GGB91362 SGB134782,0,0,0,6.11485,0,6.11485
GGB65999 SGB89406,0,0,0,5.61923,0,5.61923
Paracoccus indicus,0.03392,0.33445,4.80992,0,0.02371,5.202
Paraburkholderia tropica,0,0,0,4.80433,0.02543,4.82976
Aequorivita SGB21798,0.01346,1.93698,2.26672,0,0,4.21716
Mesoflavibacter zeaxanthinifaciens,0.05521,3.88005,0.008,0,0,3.9432600000000004
Exiguobacterium sp s22,3.3285,0.22104,0.09156,0,0,3.6411
Curvibacter gracilis,0,0,0,0,3.39111,3.39111
GGB66219 SGB89725,0,0,0,3.10965,0,3.10965
Paraburkholderia mimosarum,0,0,0,2.97439,0,2.97439
Paraburkholderia unamae,0,0,0,2.83193,0,2.83193
Dietzia kunjamensis,0.0101,0.16161,2.37139,0,0,2.5431
GGB64396 SGB129711,0,0,0,2.36536,0,2.36536
Leifsonia shinshuensis,0,0,0,1.40054,0.81317,2.21371
Pseudomonas sp GCEP 101,0,0,0,0,2.17751,2.17751
Sinomonas atrocyanea,0,0,0,2.10929,0,2.10929
Pseudomonas vanderleydeniana,0,0,0,0,1.82802,1.82802
GGB136195 SGB86552,0,0,1.69608,0,0,1.69608
GGB95786 SGB125685,0,0,0,1.69309,0,1.69309
