phylum,family,genus,species,SGB,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,mean_bietry,mean_kassembie
Pseudomonadota,Nitrobacteraceae,GGB65997,GGB65997_SGB89404,SGB89404,0,0,0,18.19281,0,0,9.096405
Pseudomonadota,Nitrobacteraceae,GGB72035,GGB72035_SGB133334,SGB133334,0,0,0,14.53139,0,0,7.265695
Pseudomonadota,Nitrobacteraceae,GGB66000,GGB66000_SGB89407,SGB89407,0,0,0,12.48023,0,0,6.240115
Actinomycetota,Mycobacteriaceae,GGB93887,GGB93887_SGB129746,SGB129746,0,0,0,8.9062,0,0,4.4531
Pseudomonadota,Betaproteobacteria_unclassified,GGB91362,GGB91362_SGB134782,SGB134782,0,0,0,6.11485,0,0,3.057425
Pseudomonadota,Nitrobacteraceae,GGB65999,GGB65999_SGB89406,SGB89406,0,0,0,5.61923,0,0,2.809615
Pseudomonadota,Nitrobacteraceae,GGB66219,GGB66219_SGB89725,SGB89725,0,0,0,3.10965,0,0,1.554825
Bacteroidota,Flavobacteriaceae,Aequorivita,Aequorivita_SGB21798,SGB21798,0.01346,1.93698,2.26672,0,0,1.4057199999999999,0
Actinomycetota,Mycobacteriaceae,GGB64396,GGB64396_SGB129711,SGB129711,0,0,0,2.36536,0,0,1.18268
Verrucomicrobiota,FGB2153,GGB95786,GGB95786_SGB125685,SGB125685,0,0,0,1.69309,0,0,0.846545
Actinomycetota,Acidimicrobiaceae,GGB64188,GGB64188_SGB86601,SGB86601,0,0,0,1.2335,0,0,0.61675
Planctomycetota,FGB93177,GGB61685,GGB61685_SGB127484,SGB127484,0,0,0,1.14766,0,0,0.57383
Actinomycetota,FGB13567,GGB136195,GGB136195_SGB86552,SGB86552,0,0,1.69608,0,0,0.56536,0
Acidobacteriota,FGB15833,GGB93629,GGB93629_SGB173533,SGB173533,0,0,0,1.06754,0,0,0.53377
Actinomycetota,Treboniaceae,GGB93990,GGB93990_SGB129990,SGB129990,0,0,0,0.96213,0,0,0.481065
Pseudomonadota,Moraxellaceae,Acinetobacter,Acinetobacter_SGB66365,SGB66365,0.28142,0.39188,0.69366,0,0,0.4556533333333334,0
Planctomycetota,FGB25759,GGB45133,GGB45133_SGB62646,SGB62646,0.03298,0.02685,1.24105,0,0,0.43362666666666666,0
Bacteroidota,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter_SGB92152,SGB92152,0.05984,0.99962,0.00907,0,0,0.3561766666666666,0
Myxococcota,Myxococcaceae,GGB93454,GGB93454_SGB132005,SGB132005,0,0,0,0.6985,0,0,0.34925
Pseudomonadota,Hyphomicrobiaceae,GGB66014,GGB66014_SGB133091,SGB133091,0,0,0,0.64651,0,0,0.323255
Myxococcota,Anaeromyxobacteraceae,GGB93475,GGB93475_SGB132078,SGB132078,0,0,0,0.46238,0,0,0.23119
Acidobacteriota,FGB80614,GGB89966,GGB89966_SGB126829,SGB126829,0,0,0,0.40432,0,0,0.20216
Pseudomonadota,Nitrobacteraceae,GGB37354,GGB37354_SGB56640,SGB56640,0,0,0,0.31051,0,0,0.155255
Thermodesulfobacteriota,FGB8491,GGB90662,GGB90662_SGB127188,SGB127188,0,0,0,0.26776,0,0,0.13388
Pseudomonadota,Roseobacteraceae,GGB43318,GGB43318_SGB138064,SGB138064,0.00136,0,0.37426,0,0,0.12520666666666666,0
Actinomycetota,Miltoncostaeaceae,GGB64250,GGB64250_SGB86667,SGB86667,0.00441,0.00269,0.3537,0,0,0.12026666666666667,0
Pseudomonadota,Nitrobacteraceae,GGB92565,GGB92565_SGB133354,SGB133354,0,0,0,0.22972,0,0,0.11486
Thermodesulfobacteriota,FGB79996,GGB88573,GGB88573_SGB124808,SGB124808,0,0,0,0.1997,0,0,0.09985
Pseudomonadota,Paracoccaceae,GGB43317,GGB43317_SGB60623,SGB60623,0,0,0.29501,0,0,0.09833666666666667,0
Myxococcota,Myxococcaceae,GGB93529,GGB93529_SGB132218,SGB132218,0,0,0,0.17057,0,0,0.085285
Actinomycetota,Treboniaceae,GGB52798,GGB52798_SGB73712,SGB73712,0,0,0,0.12449,0,0,0.062245
Pseudomonadota,Betaproteobacteria_unclassified,GGB91352,GGB91352_SGB134892,SGB134892,0,0,0,0.12262,0,0,0.06131
Actinomycetota,Treboniaceae,GGB94008,GGB94008_SGB130022,SGB130022,0,0,0,0.12026,0,0,0.06013
Bacteroidota,Sphingobacteriaceae,GGB110264,GGB110264_SGB196191,SGB196191,0,0,0,0,0.11256,0,0.05628
Pseudomonadota,Paracoccaceae,Marivivens,Marivivens_SGB10879,SGB10879,0,0,0.13688,0,0,0.04562666666666667,0
Actinomycetota,Ilumatobacteraceae,GGB31920,GGB31920_SGB55883,SGB55883,0,0,0.12682,0,0,0.04227333333333333,0
Pseudomonadota,FGB77274,GGB92506,GGB92506_SGB133129,SGB133129,0,0,0,0.07293,0,0,0.036465
Actinomycetota,Mycobacteriaceae,GGB64439,GGB64439_SGB86925,SGB86925,0,0,0,0.07241,0,0,0.036205
Actinomycetota,Microbacteriaceae,Microbacterium,Microbacterium_SGB87885,SGB87885,0,0.00573,0.08905,0,0,0.031593333333333334,0
Methanobacteriota,FGB10638,GGB54174,GGB54174_SGB75380,SGB75380,0,0,0,0.06156,0,0,0.03078
Actinomycetota,FGB36511,GGB60033,GGB60033_SGB81933,SGB81933,0,0,0.09148,0,0,0.030493333333333334,0
Actinomycetota,Intrasporangiaceae,Janibacter,Janibacter_SGB99000,SGB99000,0.0064,0.02125,0.06132,0,0,0.029656666666666665,0
Pseudomonadota,Dongiaceae,GGB66392,GGB66392_SGB132736,SGB132736,0,0,0,0.05789,0,0,0.028945
Pseudomonadota,Beijerinckiaceae,GGB65847,GGB65847_SGB89195,SGB89195,0,0,0,0.05728,0,0,0.02864
Pseudomonadota,Paracoccaceae,GGB66792,GGB66792_SGB90437,SGB90437,0,0,0.08429,0,0,0.02809666666666667,0
Methanobacteriota,Methanoregulaceae,GGB54137,GGB54137_SGB147869,SGB147869,0,0,0,0,0.0488,0,0.0244
Acidobacteriota,FGB63353,GGB71614,GGB71614_SGB126404,SGB126404,0,0,0,0.04039,0,0,0.020195
Pseudomonadota,FGB44487,GGB91419,GGB91419_SGB134682,SGB134682,0,0,0,0.04001,0,0,0.020005
Pseudomonadota,Hyphomicrobiaceae,GGB66014,GGB66014_SGB133090,SGB133090,0,0,0,0.03861,0,0,0.019305
Planctomycetota,FGB25759,GGB98529,GGB98529_SGB137755,SGB137755,7.1e-4,0.00161,0.05519,0,0,0.019170000000000003,0
Actinomycetota,Miltoncostaeaceae,GGB64250,GGB64250_SGB86668,SGB86668,0,0,0.05728,0,0,0.019093333333333334,0
Pseudomonadota,Erythrobacteraceae,Qipengyuania,Qipengyuania_SGB138215,SGB138215,0,0,0.05522,0,0,0.018406666666666665,0
Actinomycetota,FGB13567,GGB136196,GGB136196_SGB176986,SGB176986,0,0,0.051,0,0,0.016999999999999998,0
Actinomycetota,Treboniaceae,GGB52803,GGB52803_SGB86999,SGB86999,0,0,0,0.03333,0,0,0.016665
Pseudomonadota,Dongiaceae,GGB92323,GGB92323_SGB132845,SGB132845,0,0,0,0.03267,0,0,0.016335
Firmicutes,FGB80250,GGB88569,GGB88569_SGB123343,SGB123343,0,0,0,0.03211,0,0,0.016055
Acidobacteriota,FGB39337,GGB89977,GGB89977_SGB126808,SGB126808,0,0,0,0.03064,0,0,0.01532
Pseudomonadota,Erythrobacteraceae,Qipengyuania,Qipengyuania_SGB38253,SGB38253,0,0,0.04389,0,0,0.014629999999999999,0
Pseudomonadota,Sphingomonadaceae,Sphingomonas,Sphingomonas_SGB73465,SGB73465,0,0,0,0,0.02793,0,0.013965
Thermodesulfobacteriota,FGB8491,GGB90655,GGB90655_SGB127159,SGB127159,0,0,0,0.02459,0,0,0.012295
Pseudomonadota,FGB14846,GGB91732,GGB91732_SGB134135,SGB134135,0,0,0,0.02354,0,0,0.01177
Acidobacteriota,FGB14958,GGB89942,GGB89942_SGB126742,SGB126742,0,0,0,0.02288,0,0,0.01144
Actinomycetota,Streptomycetaceae,GGB94264,GGB94264_SGB130266,SGB130266,0,0,0,0,0.02204,0,0.01102
Actinomycetota,Corynebacteriaceae,Corynebacterium,Corynebacterium_SGB61358,SGB61358,0.0017,0,0.02914,0,0,0.01028,0
Pseudomonadota,Moraxellaceae,Acinetobacter,Acinetobacter_SGB165522,SGB165522,0.00199,0.00369,0.02183,0,0,0.00917,0
Actinomycetota,Intrasporangiaceae,Oryzihumus,Oryzihumus_SGB130264,SGB130264,0,0,0,0.01751,0,0,0.008755
Pseudomonadota,Sphingomonadaceae,Sphingomonas,Sphingomonas_SGB90165,SGB90165,0,0,0,0,0.01726,0,0.00863
Pseudomonadota,Paracoccaceae,Nioella,Nioella_SGB138072,SGB138072,0,0,0.0247,0,0,0.008233333333333334,0
Pseudomonadota,Roseobacteraceae,Marivita,Marivita_SGB181916,SGB181916,0,0,0.02453,0,0,0.008176666666666667,0
Planctomycetota,FGB25759,GGB45144,GGB45144_SGB62657,SGB62657,0,0,0.02202,0,0,0.00734,0
Pseudomonadota,Candidatus_Pelagibacteraceae,GGB47040,GGB47040_SGB64963,SGB64963,0,0,0.02199,0,0,0.00733,0
Pseudomonadota,Candidatus_Pelagibacterales_unclassified,GGB47034,GGB47034_SGB64954,SGB64954,0,0,0.02013,0,0,0.00671,0
Pseudomonadota,Paracoccaceae,Defluviimonas,Defluviimonas_SGB90463,SGB90463,9.9e-4,0.00208,0.01567,0,0,0.006246666666666667,0
Pseudomonadota,Nitrobacteraceae,GGB44766,GGB44766_SGB133340,SGB133340,0,0,0,0.01135,0,0,0.005675
Pseudomonadota,Methylophilaceae,Methylophilaceae_unclassified,Methylophilaceae_unclassified_SGB91728,SGB91728,0,0,0.01673,0,0,0.005576666666666666,0
Actinomycetota,FGB13567,GGB33138,GGB33138_SGB86553,SGB86553,0,0,0.01618,0,0,0.005393333333333333,0
Actinomycetota,FGB13567,GGB44069,GGB44069_SGB61447,SGB61447,0,0,0.01518,0,0,0.00506,0
Pseudomonadota,Oxalobacteraceae,Herbaspirillum,Herbaspirillum_SGB88640,SGB88640,0,0,0,0,0.00987,0,0.004935
Planctomycetota,FGB93171,GGB90876,GGB90876_SGB127500,SGB127500,0,0,0,0.00949,0,0,0.004745
Bacteroidota,FGB73567,GGB24405,GGB24405_SGB36246,SGB36246,0,0,0,0,0.00876,0,0.00438
Bacteroidota,FGB83599,GGB99166,GGB99166_SGB140305,SGB140305,0,0,0.01233,0,0,0.00411,0
Actinomycetota,FGB67380,GGB136607,GGB136607_SGB176925,SGB176925,0.00487,0.00533,0.00157,0,0,0.003923333333333333,0
Verrucomicrobiota,Coraliomargaritaceae,GGB25700,GGB25700_SGB37674,SGB37674,0,0,0.01149,0,0,0.00383,0
Actinomycetota,Nocardioidaceae,Nocardioides,Nocardioides_SGB107694,SGB107694,0,0,0.01125,0,0,0.00375,0
Gemmatimonadota,FGB5367,GGB92869,GGB92869_SGB131016,SGB131016,0,0,0,0.00735,0,0,0.003675
Actinomycetota,Treboniaceae,GGB52803,GGB52803_SGB130045,SGB130045,0,0,0,0.00731,0,0,0.003655
Bacteroidota,FGB24306,GGB14202,GGB14202_SGB36131,SGB36131,0,0,0.0102,0,0,0.0034000000000000002,0
